age,job,marital,education,balance,housing,loan,day,month,duration,campaign
59,admin.,married,secondary,2343,yes,no,5,may,1042,1
56,admin.,married,secondary,45,no,no,5,may,1467,1
41,technician,married,secondary,1270,yes,no,5,may,1389,1
55,services,married,secondary,2476,yes,no,5,may,579,1
54,admin.,married,tertiary,184,no,no,5,may,673,2
42,management,single,tertiary,0,yes,yes,5,may,562,2
56,management,married,tertiary,830,yes,yes,6,may,1201,1
60,retired,divorced,secondary,545,yes,no,6,may,1030,1
37,technician,married,secondary,1,yes,no,6,may,608,1
28,services,single,secondary,5090,yes,no,6,may,,3
38,admin.,single,secondary,100,yes,no,7,may,786,1
30,blue-collar,married,secondary,309,yes,no,7,may,1574,2
29,management,married,tertiary,199,yes,yes,7,may,1689,4
46,blue-collar,single,tertiary,460,yes,no,7,may,1102,2
31,technician,single,tertiary,703,yes,no,8,may,943,2
35,management,divorced,tertiary,3837,yes,no,8,may,1084,1
32,blue-collar,single,primary,611,yes,no,8,may,541,3
49,services,married,secondary,-8,yes,no,8,may,,1
41,admin.,married,secondary,55,yes,no,8,may,1120,2
49,admin.,divorced,secondary,168,yes,yes,8,may,513,1
28,admin.,divorced,secondary,785,yes,no,8,may,442,2
43,management,single,tertiary,2067,yes,no,8,may,756,1
43,management,divorced,tertiary,388,yes,no,8,may,2087,2
43,blue-collar,married,primary,-192,yes,no,8,may,1120,2
37,unemployed,single,secondary,381,yes,no,8,may,985,2
35,blue-collar,single,secondary,40,yes,no,9,may,617,4
31,technician,single,tertiary,22,yes,no,9,may,483,3
43,blue-collar,single,secondary,3,yes,no,9,may,,3
31,admin.,married,secondary,307,yes,no,9,may,538,1
28,blue-collar,single,secondary,759,yes,no,9,may,710,1
32,blue-collar,married,secondary,-1,yes,no,9,may,653,1
60,technician,married,primary,65,yes,no,9,may,1028,2
26,blue-collar,single,secondary,82,yes,no,9,may,654,1
40,blue-collar,married,secondary,10,yes,no,9,may,,2
33,blue-collar,divorced,primary,390,yes,no,9,may,665,2
32,management,single,tertiary,311,no,no,12,may,757,2
35,blue-collar,married,primary,414,no,no,13,may,504,4
